Daerah,Kecamatan,harga,kamar_tidur,luas_bangunan,luas_lahan
Berbah, Sleman,700.000.000,4,51 m²,125 m²
Purwo martani, Sleman,1.200.000.000,3,100 m²,135 m²
Purwo martani, Sleman,1.795.000.000,5,162 m²,126 m²
Kasihan, Bantul,329.000.000,2,45 m²,80 m²
Wates, Kulon Progo,370.000.000,2,36 m²,110 m²
Kasihan, Bantul,380.000.000,2,36 m²,74 m²
Ngaglik, Sleman,2.300.000.000,4,200 m²,417 m²
Gamping, Sleman,300.000.000,2,36 m²,90 m²
Sewon, Bantul,100.000.000,2,65 m²,60 m²
Ngemplak, Sleman,1.500.000.000,3,175 m²,126 m²
Kalasan, Sleman,699.000.000,3,70 m²,90 m²
Ngaglik, Sleman,625.000.000,3,90 m²,107 m²
Wirobrajan, Yogyakarta,41.000.000.000,8,480 m²,2581 m²
Caturtunggal, Sleman,400.000.000,,116 m²,58 m²
Sleman, Sleman,1.250.000.000,3,90 m²,217 m²
Sewon, Bantul,869.100.000,2,50 m²,98 m²
Tegalrejo, Yogyakarta,2.800.000.000,7,298 m²,496 m²
Kalasan, Sleman,700.000.000,2,45 m²,90 m²
Banguntapan, Bantul,550.000.000,3,90 m²,87 m²
Depok, Sleman,360.000.000,2,65 m²,60 m²
Umbulharjo, Yogyakarta,830.000.000,3,80 m²,89 m²
Ngaglik, Sleman,845.000.000,3,97 m²,120 m²
Gamping, Sleman,4.200.000.000,32,650 m²,417 m²
Mantrijeron, Yogyakarta,500.000.000,2,40 m²,99 m²
Sewon, Bantul,475.000.000,3,80 m²,120 m²
Kasihan, Bantul,275.000.000,2,36 m²,75 m²
Wirobrajan, Yogyakarta,1.200.000.000,4,200 m²,203 m²
Sedayu, Bantul,585.000.000,3,60 m²,102 m²
Pajangan, Bantul,275.150.000,2,36 m²,72 m²
Caturtunggal, Sleman,360.000.000,2,65 m²,60 m²
Mlati, Sleman,725.000.000,3,70 m²,106 m²
Maguwoharjo, Sleman,1.500.000.000,8,150 m²,115 m²
Sewon, Bantul,1.700.000.000,10,200 m²,150 m²
Moyudan, Sleman,370.000.000,3,130 m²,130 m²
Condong Catur, Sleman,845.000.000,3,97 m²,120 m²
Sleman, Sleman,275.000.000,2,36 m²,100 m²
Depok, Sleman,3.600.000.000,5,450 m²,300 m²
Sleman, Sleman,455.000.000,3,90 m²,125 m²
Kalasan, Sleman,450.000.000,2,45 m²,134 m²
Mlati, Sleman,2.900.000.000,4,125 m²,256 m²
Depok, Sleman,1.500.000.000,8,150 m²,125 m²
Ngaglik, Sleman,2.100.000.000,12,300 m²,147 m²
Turi, Sleman,2.500.000.000,4,300 m²,1000 m²
Purwo martani, Sleman,599.000.000,3,80 m²,110 m²
Wirobrajan, Yogyakarta,285.000.000,2,36 m²,60 m²
Ngaglik, Sleman,1.800.000.000,6,175 m²,300 m²
Kasihan, Bantul,315.000.000,2,36 m²,84 m²
Seyegan, Sleman,449.750.000,2,36 m²,90 m²
Pengasih, Kulon Progo,220.000.000,3,200 m²,654 m²
Ngaglik, Sleman,4.500.000.000,4,350 m²,360 m²
Mlati, Sleman,450.000.000,2,45 m²,100 m²
Kalasan, Sleman,475.000.000,2,50 m²,234 m²
Banguntapan, Bantul,1.700.000.000,4,164 m²,102 m²
Pandak, Bantul,175.000.000,2,30 m²,60 m²
Banguntapan, Bantul,499.000.000,3,65 m²,84 m²
Ngaglik, Sleman,850.000.000,3,80 m²,120 m²
Umbulharjo, Yogyakarta,1.000.000.000,3,90 m²,106 m²
Godean, Sleman,595.000.000,3,61 m²,106 m²
Sedayu, Bantul,258.000.000,2,30 m²,60 m²
Mantrijeron, Yogyakarta,1.199.990.000,3,100 m²,148 m²
Sleman, Sleman,699.000.000,3,62 m²,120 m²
Condong Catur, Sleman,4.500.000.000,19,430 m²,303 m²
Caturtunggal, Sleman,1.300.000.000,5,100 m²,120 m²
Caturtunggal, Sleman,9.900.000.000,4,200 m²,425 m²
Playen, Gunung Kidul,200.000.000,2,36 m²,72 m²
Umbulharjo, Yogyakarta,1.650.000.000,5,170 m²,103 m²
Sedayu, Bantul,907.000.000,3,120 m²,80 m²
Ngemplak, Sleman,550.000.000,2,60 m²,95 m²
Umbulharjo, Yogyakarta,2.700.000.000,6,200 m²,215 m²
Depok, Sleman,1.300.000.000,3,120 m²,106 m²
Mlati, Sleman,350.000.000,2,40 m²,84 m²
Kalasan, Sleman,4.500.000.000,4,400 m²,720 m²
Ngaglik, Sleman,350.000.000,1,42 m²,65 m²
Ngaglik, Sleman,1.850.000.000,6,250 m²,513 m²
Ngaglik, Sleman,2.100.000.000,4,200 m²,417 m²
Mlati, Sleman,1.400.000.000,3,135 m²,195 m²
Mantrijeron, Yogyakarta,599.000.000,2,56 m²,44 m²
Wonosari, Gunung Kidul,195.000.000,2,36 m²,60 m²
Pakem, Sleman,2.600.000.000,4,450 m²,1112 m²
Ngaglik, Sleman,1.595.000.000,3,110 m²,120 m²
Jetis, Yogyakarta,4.650.000.000,7,450 m²,330 m²
Ngaglik, Sleman,950.000.000,5,180 m²,119 m²
Piyungan, Bantul,568.000.000,3,70 m²,107 m²
Tegalrejo, Yogyakarta,1.260.000.000,3,110 m²,97 m²
Caturtunggal, Sleman,2.900.000.000,12,330 m²,120 m²
Kalasan, Sleman,539.000.000,2,50 m²,108 m²
Wirobrajan, Yogyakarta,3.900.000.000,5,330 m²,460 m²
Ngaglik, Sleman,700.000.000,3,65 m²,100 m²
Gamping, Sleman,1.450.000.000,6,168 m²,160 m²
Ngaglik, Sleman,2.500.000.000,11,250 m²,241 m²
Prambanan, Sleman,290.000.000,2,30 m²,60 m²
Ngaglik, Sleman,1.150.000.000,3,80 m²,113 m²
Tegalrejo, Yogyakarta,5.500.000.000,7,365 m²,310 m²
Mlati, Sleman,1.700.000.000,5,170 m²,122 m²
Mlati, Sleman,4.300.000.000,4,250 m²,210 m²
Sedayu, Bantul,330.000.000,2,52 m²,80 m²
Depok, Sleman,3.000.000.000,5,350 m²,425 m²
Mlati, Sleman,2.000.000.000,11,300 m²,147 m²
Mlati, Sleman,635.000.000,3,70 m²,100 m²
Ngaglik, Sleman,970.000.000,,90 m²,128 m²
Ngaglik, Sleman,5.500.000.000,4,298 m²,174 m²
Kalasan, Sleman,1.200.000.000,3,113 m²,123 m²
Mlati, Sleman,2.100.000.000,10,230 m²,156 m²
Ngaglik, Sleman,890.000.000,2,45 m²,125 m²
Condong Catur, Sleman,2.200.000.000,10,219 m²,168 m²
Gamping, Sleman,14.500.000.000,8,1670 m²,1420 m²
